queryid,productid,product_url,query_text,relevance
1,B00275F2GS,https://www.amazon.com/dp/B00275F2GS,"earphone,wireless,waterproof
",0
1,B0036J1S1W,https://www.amazon.com/dp/B0036J1S1W,"earphone,wireless,waterproof
",1
1,B004CHHLDG,https://www.amazon.com/dp/B004CHHLDG,"earphone,wireless,waterproof
",0
1,B001GPCBPU,https://www.amazon.com/dp/B001GPCBPU,"earphone,wireless,waterproof
",0
1,B001I1A5WS,https://www.amazon.com/dp/B001I1A5WS,"earphone,wireless,waterproof
",0
1,B001GUPEMW,https://www.amazon.com/dp/B001GUPEMW,"earphone,wireless,waterproof
",1
1,B0051RW1SQ,https://www.amazon.com/dp/B0051RW1SQ,"earphone,wireless,waterproof
",0
1,B005J0RAI6,https://www.amazon.com/dp/B005J0RAI6,"earphone,wireless,waterproof
",0
1,B005J0W3F6,https://www.amazon.com/dp/B005J0W3F6,"earphone,wireless,waterproof
",0
1,B003DW4A76,https://www.amazon.com/dp/B003DW4A76,"earphone,wireless,waterproof
",0
2,B001GPCBPU,https://www.amazon.com/dp/B001GPCBPU,"earphone,noise canceling,in ear
",0
2,B007BWCDYQ,https://www.amazon.com/dp/B007BWCDYQ,"earphone,noise canceling,in ear
",0
2,B00029U0YK,https://www.amazon.com/dp/B00029U0YK,"earphone,noise canceling,in ear
",0
2,B00275F2GS,https://www.amazon.com/dp/B00275F2GS,"earphone,noise canceling,in ear
",0
2,B0036J1S1W,https://www.amazon.com/dp/B0036J1S1W,"earphone,noise canceling,in ear
",0
2,B005J0W3F6,https://www.amazon.com/dp/B005J0W3F6,"earphone,noise canceling,in ear
",1
2,B005J0RAI6,https://www.amazon.com/dp/B005J0RAI6,"earphone,noise canceling,in ear
",1
2,B001GUPEMW,https://www.amazon.com/dp/B001GUPEMW,"earphone,noise canceling,in ear
",1
2,B005IZ65G0,https://www.amazon.com/dp/B005IZ65G0,"earphone,noise canceling,in ear
",1
2,B001I1A5WS,https://www.amazon.com/dp/B001I1A5WS,"earphone,noise canceling,in ear
",1
3,B008LSUY7W,https://www.amazon.com/dp/B008LSUY7W,"headphone,light,long playtime
",0
3,B00113XADE,https://www.amazon.com/dp/B00113XADE,"headphone,light,long playtime
",0
3,B00478O0JI,https://www.amazon.com/dp/B00478O0JI,"headphone,light,long playtime
",1
3,B0009MFKDQ,https://www.amazon.com/dp/B0009MFKDQ,"headphone,light,long playtime
",1
3,B002VPDOH8,https://www.amazon.com/dp/B002VPDOH8,"headphone,light,long playtime
",0
3,B003BRNZTM,https://www.amazon.com/dp/B003BRNZTM,"headphone,light,long playtime
",0
3,B0036RDVU0,https://www.amazon.com/dp/B0036RDVU0,"headphone,light,long playtime
",1
3,B00CXP4AS8,https://www.amazon.com/dp/B00CXP4AS8,"headphone,light,long playtime
",1
3,B0033ZP5YA,https://www.amazon.com/dp/B0033ZP5YA,"headphone,light,long playtime
",0
3,B0036RA4CS,https://www.amazon.com/dp/B0036RA4CS,"headphone,light,long playtime
",1
4,B004VC3NM0,https://www.amazon.com/dp/B004VC3NM0,"laptop,windows,game friendly,slim
",1
4,B00D4OF6SK,https://www.amazon.com/dp/B00D4OF6SK,"laptop,windows,game friendly,slim
",1
4,B001KV0Z5I,https://www.amazon.com/dp/B001KV0Z5I,"laptop,windows,game friendly,slim
",0
4,B008C3DEXM,https://www.amazon.com/dp/B008C3DEXM,"laptop,windows,game friendly,slim
",0
4,B005E99A8K,https://www.amazon.com/dp/B005E99A8K,"laptop,windows,game friendly,slim
",0
4,B008F1GFWI,https://www.amazon.com/dp/B008F1GFWI,"laptop,windows,game friendly,slim
",0
4,B00763W9H6,https://www.amazon.com/dp/B00763W9H6,"laptop,windows,game friendly,slim
",0
4,B0023XKUHA,https://www.amazon.com/dp/B0023XKUHA,"laptop,windows,game friendly,slim
",0
4,B009Z7NE1Q,https://www.amazon.com/dp/B009Z7NE1Q,"laptop,windows,game friendly,slim
",1
4,B002I2RHXQ,https://www.amazon.com/dp/B002I2RHXQ,"laptop,windows,game friendly,slim
",0
5,B005X1Y7I2,https://www.amazon.com/dp/B005X1Y7I2,"stick,bluetooth,good remote",0
5,B000065UDU,https://www.amazon.com/dp/B000065UDU,"stick,bluetooth,good remote",1
5,B000JV3A20,https://www.amazon.com/dp/B000JV3A20,"stick,bluetooth,good remote",1
5,B005GFXH6S,https://www.amazon.com/dp/B005GFXH6S,"stick,bluetooth,good remote",1
5,B007RDWF0Q,https://www.amazon.com/dp/B007RDWF0Q,"stick,bluetooth,good remote",1
5,B0042F3K9W,https://www.amazon.com/dp/B0042F3K9W,"stick,bluetooth,good remote",0
5,B00E0NRESE,https://www.amazon.com/dp/B00E0NRESE,"stick,bluetooth,good remote",0
5,B005NF5NTK,https://www.amazon.com/dp/B005NF5NTK,"stick,bluetooth,good remote",0
5,B004CJPS66,https://www.amazon.com/dp/B004CJPS66,"stick,bluetooth,good remote",0
5,B000JLK5PK,https://www.amazon.com/dp/B000JLK5PK,"stick,bluetooth,good remote",0
6,B008YGKVBU,https://www.amazon.com/dp/B008YGKVBU,"tablet,android,slim
",1
6,B0082YEH8M,https://www.amazon.com/dp/B0082YEH8M,"tablet,android,slim
",1
6,B005PSLFGA,https://www.amazon.com/dp/B005PSLFGA,"tablet,android,slim
",1
6,B00INXO85O,https://www.amazon.com/dp/B00INXO85O,"tablet,android,slim
",1
6,B005JN1AT8,https://www.amazon.com/dp/B005JN1AT8,"tablet,android,slim
",1
6,B00HC8BY4Y,https://www.amazon.com/dp/B00HC8BY4Y,"tablet,android,slim
",0
6,B008N1TU22,https://www.amazon.com/dp/B008N1TU22,"tablet,android,slim
",1
6,B00GZNCP3G,https://www.amazon.com/dp/B00GZNCP3G,"tablet,android,slim
",0
6,B00BQ5KHJW,https://www.amazon.com/dp/B00BQ5KHJW,"tablet,android,slim
",0
6,B008YMA7QS,https://www.amazon.com/dp/B008YMA7QS,"tablet,android,slim
",0
7,B0082YEH8M,https://www.amazon.com/dp/B0082YEH8M,"tablet,affordable,light-weight
",1
7,B004OA6VYQ,https://www.amazon.com/dp/B004OA6VYQ,"tablet,affordable,light-weight
",0
